"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"41312","1","부산여행","여행","국내여행","부산광역시","2170","945","3115","20191125"
"41313","2","제주여행","여행","국내여행","제주특별자치도","1669","396","2065","20191125"
"41314","3","경주여행","여행","국내여행","경상북도","906","279","1185","20191125"
"41315","4","강릉여행","여행","국내여행","강원도","843","281","1124","20191125"
"41316","5","여수여행","여행","국내여행","전라남도","734","240","974","20191125"
"41317","6","전주여행","여행","국내여행","전라북도","599","210","809","20191125"
"41318","7","속초여행","여행","국내여행","강원도","567","213","780","20191125"
"41319","8","군산여행","여행","국내여행","전라북도","523","179","702","20191125"
"41320","9","대구여행","여행","국내여행","대구광역시","455","190","645","20191125"
"41321","10","포항여행","여행","국내여행","경상북도","367","146","513","20191125"
