SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
52962,1,부산여행,여행,국내여행,부산광역시,718,2132,2850,20221129
52963,2,제주여행,여행,국내여행,제주특별자치도,381,1349,1730,20221129
52964,3,여수여행,여행,국내여행,전라남도,318,1136,1454,20221129
52965,4,경주여행,여행,국내여행,경상북도,314,1083,1397,20221129
52966,5,강릉여행,여행,국내여행,강원도,258,845,1103,20221129
52967,6,속초여행,여행,국내여행,강원도,241,623,864,20221129
52968,7,전주여행,여행,국내여행,전라북도,221,605,826,20221129
52969,8,군산여행,여행,국내여행,전라북도,187,613,800,20221129
52970,9,대구여행,여행,국내여행,대구광역시,178,518,696,20221129
52971,10,포항여행,여행,국내여행,경상북도,163,406,569,20221129
