SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
19194,1,일본여행,여행,해외여행,아시아,일본,1056,327,1383,20200610
19195,2,베트남여행,여행,해외여행,아시아,베트남,630,209,839,20200610
19196,3,대만여행,여행,해외여행,아시아,대만,585,174,759,20200610
19197,4,발리여행,여행,해외여행,아시아,인도네시아,448,144,592,20200610
19198,5,괌여행,여행,해외여행,오세아니아,미국,400,175,575,20200610
19199,6,태국여행,여행,해외여행,아시아,태국,401,157,558,20200610
19200,7,뉴질랜드여행,여행,해외여행,오세아니아,뉴질랜드,424,104,528,20200610
19201,8,스위스여행,여행,해외여행,유럽,스위스,345,107,452,20200610
19202,9,미국여행,여행,해외여행,북아메리카,미국,314,73,387,20200610
19203,10,중국여행,여행,해외여행,아시아,중국,287,94,381,20200610
18294,1,스위스여행,여행,해외여행,유럽,스위스,1029,163,1192,20200312
18295,2,괌여행,여행,해외여행,오세아니아,미국,907,271,1178,20200312
18296,3,일본여행,여행,해외여행,아시아,일본,869,263,1132,20200312
18297,4,이탈리아여행,여행,해외여행,유럽,이탈리아,825,143,968,20200312
18298,5,미국여행,여행,해외여행,북아메리카,미국,766,190,956,20200312
18299,6,발리여행,여행,해외여행,아시아,인도네시아,732,193,925,20200312
18300,7,스페인여행,여행,해외여행,유럽,스페인,659,151,810,20200312
18301,8,대만여행,여행,해외여행,아시아,대만,650,142,792,20200312
18302,9,아르헨티나여행,여행,해외여행,남아메리카,아르헨티나,662,53,715,20200312
18303,10,태국여행,여행,해외여행,아시아,태국,500,165,665,20200312
18994,1,일본여행,여행,해외여행,아시아,일본,934,356,1290,20200521
18995,2,베트남여행,여행,해외여행,아시아,베트남,619,207,826,20200521
18996,3,대만여행,여행,해외여행,아시아,대만,516,175,691,20200521
18997,4,방콕여행,여행,해외여행,아시아,태국,606,45,651,20200521
18998,5,태국여행,여행,해외여행,아시아,태국,460,174,634,20200521
18999,6,스위스여행,여행,해외여행,유럽,스위스,347,111,458,20200521
19000,7,괌여행,여행,해외여행,오세아니아,미국,310,131,441,20200521
19001,8,이탈리아여행,여행,해외여행,유럽,이탈리아,315,118,433,20200521
19002,9,발리여행,여행,해외여행,아시아,인도네시아,312,96,408,20200521
19003,10,몽골여행,여행,해외여행,아시아,몽골,264,102,366,20200521
18394,1,아르헨티나여행,여행,해외여행,남아메리카,아르헨티나,1585,78,1663,20200322
18395,2,일본여행,여행,해외여행,아시아,일본,921,176,1097,20200322
18396,3,스위스여행,여행,해외여행,유럽,스위스,886,88,974,20200322
18397,4,이탈리아여행,여행,해외여행,유럽,이탈리아,709,50,759,20200322
18398,5,두바이여행,여행,해외여행,아시아,아랍에미리트,698,38,736,20200322
18399,6,베트남여행,여행,해외여행,아시아,베트남,603,53,656,20200322
18400,7,발리여행,여행,해외여행,아시아,인도네시아,588,51,639,20200322
18401,8,괌여행,여행,해외여행,오세아니아,미국,534,64,598,20200322
18402,9,미국여행,여행,해외여행,북아메리카,미국,497,79,576,20200322
18403,10,대만여행,여행,해외여행,아시아,대만,486,77,563,20200322
18794,1,일본여행,여행,해외여행,아시아,일본,782,177,959,20200501
18795,2,베트남여행,여행,해외여행,아시아,베트남,520,106,626,20200501
18796,3,대만여행,여행,해외여행,아시아,대만,511,96,607,20200501
18797,4,태국여행,여행,해외여행,아시아,태국,394,84,478,20200501
18798,5,스위스여행,여행,해외여행,유럽,스위스,374,102,476,20200501
18799,6,하와이여행,여행,해외여행,북아메리카,미국,390,53,443,20200501
