"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"5959","1","일본여행","여행","해외여행","아시아","일본","2277","7158","9435","20220405"
"5960","2","하와이여행","여행","해외여행","북아메리카","미국","683","2676","3359","20220405"
"5961","3","베트남여행","여행","해외여행","아시아","베트남","713","2589","3302","20220405"
"5962","4","괌여행","여행","해외여행","오세아니아","미국","744","2152","2896","20220405"
"5963","5","태국여행","여행","해외여행","아시아","태국","531","2064","2595","20220405"
"5964","6","싱가포르여행","여행","해외여행","아시아","싱가포르","437","1891","2328","20220405"
"5965","7","터키여행","여행","해외여행","유럽","터키","347","1876","2223","20220405"
"5966","8","사이판여행","여행","해외여행","오세아니아","미국","349","1536","1885","20220405"
"5967","9","스위스여행","여행","해외여행","유럽","스위스","317","1390","1707","20220405"
"5968","10","발리여행","여행","해외여행","아시아","인도네시아","276","1379","1655","20220405"
