SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,CNTT_NM,COUNTRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
8673,1,일본여행,여행,해외여행,아시아,일본,3063,11882,14945,20221103
8674,2,후쿠오카여행,여행,해외여행,아시아,일본,1500,4816,6316,20221103
8675,3,오사카여행,여행,해외여행,아시아,일본,1352,4484,5836,20221103
8676,4,도쿄여행,여행,해외여행,아시아,일본,1216,3735,4951,20221103
8677,5,대만여행,여행,해외여행,아시아,대만,903,3441,4344,20221103
8678,6,베트남여행,여행,해외여행,아시아,베트남,645,3310,3955,20221103
8679,7,싱가포르여행,여행,해외여행,아시아,싱가포르,558,3319,3877,20221103
8680,8,태국여행,여행,해외여행,아시아,태국,545,3034,3579,20221103
8681,9,터키여행,여행,해외여행,유럽,터키,262,2584,2846,20221103
8682,10,방콕여행,여행,해외여행,아시아,태국,512,2096,2608,20221103
